Geo_Code,Year,Gender,Age,Population_Estimate,Measure_Type
N92000002,1971,All Persons,0,31371,Count
N92000002,1971,All Persons,1,31389,Count
N92000002,1971,All Persons,2,31578,Count
N92000002,1971,All Persons,3,31835,Count
N92000002,1971,All Persons,4,31605,Count
N92000002,1971,All Persons,5,32476,Count
N92000002,1971,All Persons,6,33161,Count
N92000002,1971,All Persons,7,32509,Count
N92000002,1971,All Persons,8,31330,Count
N92000002,1971,All Persons,9,30222,Count
N92000002,1971,All Persons,10,29219,Count
N92000002,1971,All Persons,11,28210,Count
N92000002,1971,All Persons,12,27213,Count
N92000002,1971,All Persons,13,27323,Count
N92000002,1971,All Persons,14,27172,Count
N92000002,1971,All Persons,15,26131,Count
N92000002,1971,All Persons,16,25297,Count
N92000002,1971,All Persons,17,25580,Count
N92000002,1971,All Persons,18,24406,Count
N92000002,1971,All Persons,19,24386,Count
N92000002,1971,All Persons,20,25510,Count
N92000002,1971,All Persons,21,25092,Count
N92000002,1971,All Persons,22,24351,Count
N92000002,1971,All Persons,23,23390,Count
N92000002,1971,All Persons,24,22578,Count
N92000002,1971,All Persons,25,21002,Count
N92000002,1971,All Persons,26,20602,Count
N92000002,1971,All Persons,27,20764,Count
N92000002,1971,All Persons,28,20560,Count
N92000002,1971,All Persons,29,18572,Count
N92000002,1971,All Persons,30,17689,Count
N92000002,1971,All Persons,31,17726,Count
N92000002,1971,All Persons,32,17779,Count
N92000002,1971,All Persons,33,17224,Count
N92000002,1971,All Persons,34,17350,Count
N92000002,1971,All Persons,35,16993,Count
N92000002,1971,All Persons,36,16355,Count
N92000002,1971,All Persons,37,16136,Count
N92000002,1971,All Persons,38,16289,Count
N92000002,1971,All Persons,39,16164,Count
N92000002,1971,All Persons,40,16560,Count
N92000002,1971,All Persons,41,16524,Count
N92000002,1971,All Persons,42,16349,Count
N92000002,1971,All Persons,43,16288,Count
N92000002,1971,All Persons,44,16938,Count
N92000002,1971,All Persons,45,16668,Count
N92000002,1971,All Persons,46,16351,Count
N92000002,1971,All Persons,47,16722,Count
N92000002,1971,All Persons,48,16923,Count
N92000002,1971,All Persons,49,17432,Count
N92000002,1971,All Persons,50,17791,Count
N92000002,1971,All Persons,51,17694,Count
N92000002,1971,All Persons,52,16139,Count
N92000002,1971,All Persons,53,14567,Count
N92000002,1971,All Persons,54,14645,Count
N92000002,1971,All Persons,55,15100,Count
N92000002,1971,All Persons,56,15878,Count
N92000002,1971,All Persons,57,15718,Count
N92000002,1971,All Persons,58,15714,Count
N92000002,1971,All Persons,59,15297,Count
N92000002,1971,All Persons,60,15851,Count
N92000002,1971,All Persons,61,15324,Count
N92000002,1971,All Persons,62,14949,Count
N92000002,1971,All Persons,63,14372,Count
N92000002,1971,All Persons,64,14002,Count
N92000002,1971,All Persons,65,13012,Count
N92000002,1971,All Persons,66,12452,Count
N92000002,1971,All Persons,67,11865,Count
N92000002,1971,All Persons,68,11302,Count
N92000002,1971,All Persons,69,10648,Count
N92000002,1971,All Persons,70,10534,Count
N92000002,1971,All Persons,71,10157,Count
N92000002,1971,All Persons,72,9366,Count
N92000002,1971,All Persons,73,8662,Count
N92000002,1971,All Persons,74,8253,Count
N92000002,1971,All Persons,75,7922,Count
N92000002,1971,All Persons,76,7164,Count
N92000002,1971,All Persons,77,6399,Count
N92000002,1971,All Persons,78,5798,Count
N92000002,1971,All Persons,79,5047,Count
N92000002,1971,All Persons,80,4528,Count
N92000002,1971,All Persons,81,4083,Count
N92000002,1971,All Persons,82,4151,Count
N92000002,1971,All Persons,83,3091,Count
N92000002,1971,All Persons,84,2627,Count
N92000002,1971,All Persons,85,1985,Count
N92000002,1971,All Persons,86,1711,Count
N92000002,1971,All Persons,87,1228,Count
N92000002,1971,All Persons,88,1018,Count
N92000002,1971,All Persons,89,811,Count
N92000002,1971,All Persons,90,2264,Count
N92000002,1971,Females,0,15485,Count
N92000002,1971,Females,1,15432,Count
N92000002,1971,Females,2,15540,Count
N92000002,1971,Females,3,15566,Count
N92000002,1971,Females,4,15418,Count
N92000002,1971,Females,5,15711,Count
N92000002,1971,Females,6,16110,Count
N92000002,1971,Females,7,15888,Count
N92000002,1971,Females,8,15256,Count
N92000002,1971,Females,9,14962,Count
N92000002,1971,Females,10,14457,Count
N92000002,1971,Females,11,13971,Count
N92000002,1971,Females,12,13500,Count
N92000002,1971,Females,13,13556,Count
N92000002,1971,Females,14,13417,Count
N92000002,1971,Females,15,12468,Count
N92000002,1971,Females,16,11951,Count
N92000002,1971,Females,17,11982,Count
N92000002,1971,Females,18,12195,Count
N92000002,1971,Females,19,12181,Count
N92000002,1971,Females,20,12047,Count
N92000002,1971,Females,21,12025,Count
N92000002,1971,Females,22,11843,Count
N92000002,1971,Females,23,11519,Count
N92000002,1971,Females,24,11177,Count
N92000002,1971,Females,25,10530,Count
N92000002,1971,Females,26,10454,Count
N92000002,1971,Females,27,10495,Count
N92000002,1971,Females,28,10326,Count
N92000002,1971,Females,29,9220,Count
N92000002,1971,Females,30,8784,Count
N92000002,1971,Females,31,8835,Count
N92000002,1971,Females,32,8853,Count
N92000002,1971,Females,33,8474,Count
N92000002,1971,Females,34,8530,Count
N92000002,1971,Females,35,8560,Count
N92000002,1971,Females,36,8264,Count
N92000002,1971,Females,37,8133,Count
N92000002,1971,Females,38,8326,Count
N92000002,1971,Females,39,8180,Count
N92000002,1971,Females,40,8408,Count
N92000002,1971,Females,41,8444,Count
N92000002,1971,Females,42,8297,Count
N92000002,1971,Females,43,8333,Count
N92000002,1971,Females,44,8612,Count
N92000002,1971,Females,45,8649,Count
N92000002,1971,Females,46,8405,Count
N92000002,1971,Females,47,8700,Count
N92000002,1971,Females,48,8757,Count
N92000002,1971,Females,49,9003,Count
N92000002,1971,Females,50,9204,Count
N92000002,1971,Females,51,9140,Count
N92000002,1971,Females,52,8354,Count
N92000002,1971,Females,53,7613,Count
N92000002,1971,Females,54,7603,Count
N92000002,1971,Females,55,7904,Count
N92000002,1971,Females,56,8432,Count
N92000002,1971,Females,57,8282,Count
N92000002,1971,Females,58,8314,Count
N92000002,1971,Females,59,8046,Count
N92000002,1971,Females,60,8254,Count
N92000002,1971,Females,61,7907,Count
N92000002,1971,Females,62,7738,Count
N92000002,1971,Females,63,7511,Count
N92000002,1971,Females,64,7443,Count
N92000002,1971,Females,65,7277,Count
N92000002,1971,Females,66,7042,Count
N92000002,1971,Females,67,6685,Count
N92000002,1971,Females,68,6396,Count
N92000002,1971,Females,69,6147,Count
N92000002,1971,Females,70,6087,Count
N92000002,1971,Females,71,5920,Count
N92000002,1971,Females,72,5449,Count
N92000002,1971,Females,73,5036,Count
N92000002,1971,Females,74,5024,Count
N92000002,1971,Females,75,4814,Count
N92000002,1971,Females,76,4347,Count
N92000002,1971,Females,77,4002,Count
N92000002,1971,Females,78,3593,Count
N92000002,1971,Females,79,3136,Count
N92000002,1971,Females,80,2768,Count
N92000002,1971,Females,81,2521,Count
N92000002,1971,Females,82,2650,Count
N92000002,1971,Females,83,2023,Count
N92000002,1971,Females,84,1739,Count
N92000002,1971,Females,85,1335,Count
N92000002,1971,Females,86,1164,Count
N92000002,1971,Females,87,869,Count
N92000002,1971,Females,88,684,Count
N92000002,1971,Females,89,539,Count
N92000002,1971,Females,90,1579,Count
N92000002,1971,Males,0,15886,Count
N92000002,1971,Males,1,15957,Count
N92000002,1971,Males,2,16038,Count
N92000002,1971,Males,3,16269,Count
N92000002,1971,Males,4,16187,Count
N92000002,1971,Males,5,16765,Count
N92000002,1971,Males,6,17051,Count
N92000002,1971,Males,7,16621,Count
N92000002,1971,Males,8,16074,Count
N92000002,1971,Males,9,15260,Count
N92000002,1971,Males,10,14762,Count
N92000002,1971,Males,11,14239,Count
N92000002,1971,Males,12,13713,Count
N92000002,1971,Males,13,13767,Count
N92000002,1971,Males,14,13755,Count
N92000002,1971,Males,15,13663,Count
N92000002,1971,Males,16,13346,Count
N92000002,1971,Males,17,13598,Count
N92000002,1971,Males,18,12211,Count
N92000002,1971,Males,19,12205,Count
N92000002,1971,Males,20,13463,Count
N92000002,1971,Males,21,13067,Count
N92000002,1971,Males,22,12508,Count
N92000002,1971,Males,23,11871,Count
N92000002,1971,Males,24,11401,Count
N92000002,1971,Males,25,10472,Count
N92000002,1971,Males,26,10148,Count
N92000002,1971,Males,27,10269,Count
N92000002,1971,Males,28,10234,Count
N92000002,1971,Males,29,9352,Count
N92000002,1971,Males,30,8905,Count
N92000002,1971,Males,31,8891,Count
N92000002,1971,Males,32,8926,Count
N92000002,1971,Males,33,8750,Count
N92000002,1971,Males,34,8820,Count
N92000002,1971,Males,35,8433,Count
N92000002,1971,Males,36,8091,Count
N92000002,1971,Males,37,8003,Count
N92000002,1971,Males,38,7963,Count
N92000002,1971,Males,39,7984,Count
N92000002,1971,Males,40,8152,Count
N92000002,1971,Males,41,8080,Count
N92000002,1971,Males,42,8052,Count
N92000002,1971,Males,43,7955,Count
N92000002,1971,Males,44,8326,Count
N92000002,1971,Males,45,8019,Count
N92000002,1971,Males,46,7946,Count
N92000002,1971,Males,47,8022,Count
N92000002,1971,Males,48,8166,Count
N92000002,1971,Males,49,8429,Count
N92000002,1971,Males,50,8587,Count
N92000002,1971,Males,51,8554,Count
N92000002,1971,Males,52,7785,Count
N92000002,1971,Males,53,6954,Count
N92000002,1971,Males,54,7042,Count
N92000002,1971,Males,55,7196,Count
N92000002,1971,Males,56,7446,Count
N92000002,1971,Males,57,7436,Count
N92000002,1971,Males,58,7400,Count
N92000002,1971,Males,59,7251,Count
N92000002,1971,Males,60,7597,Count
N92000002,1971,Males,61,7417,Count
N92000002,1971,Males,62,7211,Count
N92000002,1971,Males,63,6861,Count
N92000002,1971,Males,64,6559,Count
N92000002,1971,Males,65,5735,Count
N92000002,1971,Males,66,5410,Count
N92000002,1971,Males,67,5180,Count
N92000002,1971,Males,68,4906,Count
N92000002,1971,Males,69,4501,Count
N92000002,1971,Males,70,4447,Count
N92000002,1971,Males,71,4237,Count
N92000002,1971,Males,72,3917,Count
N92000002,1971,Males,73,3626,Count
N92000002,1971,Males,74,3229,Count
N92000002,1971,Males,75,3108,Count
N92000002,1971,Males,76,2817,Count
N92000002,1971,Males,77,2397,Count
N92000002,1971,Males,78,2205,Count
N92000002,1971,Males,79,1911,Count
N92000002,1971,Males,80,1760,Count
